conceptId,Primary Source,conceptId,Secondary Source,conceptId,Source Question,conceptId,Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions,Variable Type,Variable Length,conceptId,Format/Value,conceptId,Old Quest Value,conceptId,Connect Value,Required,PII,conceptId,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,Quest_Src Question
192505768,Recruitment,883203566,Sign in,,,849518448,Site reported race/ethnicity,Site reported race/ethnicity,RcrtSI_Race_v1r0,,Num,1,768826601,"0 = White, Non-Hispanic",,,,,Yes,No,,,,Recruitment Data Dictionary,Yes,No,3/25/21,,,,
,,,,,,,,,,,,,181769837,55 = Other,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,178420302,77 = Unavailable/Unknown,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,,,119643471,Sanford Health Reported Race,Sanford Health Reported Race,RcrtSI_SHRace_v1r0,,Num,2,232334767,0=African American/Black,,,,,For Sanford Health,No,,,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,211228524,1=American Indian or Alaskan Native,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,308427446,2=Asian,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,635279662,3=Caucasian/White,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,432722256,4=Hispanic/Latino/Black,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,232663805,5=Hispanic/Latino/Declined,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,785578696,6=Hispanic/Latino/White,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,200929978,7=Native Hawaiian,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,490725843,8=Native Hawaiian/Pacific Islander,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,965998904,9=Pacific Islander,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,986445321,66=Blank,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,746038746,99=Declined,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,,,538553381,Sanford Health Reported Ethnicity,Sanford Health Reported Ethnicity,RcrtSI_SHEthnicity_v1r0,,Num,1,628733063,0=Hispanic or Latino,,,,,For Sanford Health,No,,,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,319570637,1=Not Hispanic or Latino,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,986445321,66=Blank,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,746038746,99=Declined,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,,,684926335,Henry Ford Health System Reported Race,Henry Ford Health System Reported Race,RcrtSI_HFHSRace_v1r0,,Num,2,232334767,0=African American/Black,,,,,For Henry Ford HS,No,,,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,635279662,1=Caucasian/White,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,401335456,"2=Other (Hispanic, Asian, American Indian/Alaskan Native, Native Hawaiian or Pacific Islander)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,,,527823810,Henry Ford Health System Reported Ethnicity,Henry Ford Health System Reported Ethnicity,RcrtSI_HFHSEthnicity_v1r0,,Num,2,628733063,0=Hispanic or Latino,,,,,For Henry Ford HS,No,,,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,319570637,1=Not Hispanic or Latino,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,,,412947828,Henry Ford Health System Race Ethnicity Combination,Henry Ford Health System Race Ethnicity Combination,RcrtSI_HFHSRE_v1r0,,Num,2,429116883,0 = African American/Black and Hispanic or Latino,,,,,For Henry Ford HS,No,,,RcrtSI_HFHSRE_v1r0 equals 0 if RcrtSI_HFHSRace_v1r0 equals 0 and RcrtSI_HFHSEthnicity equals 0,Master Data Dictionary,No,No,,,,,
,,,,,,,,,,,,,427283714,1 = African American/Black and not Hispanic or Latino,,,,,,,,,RcrtSI_HFHSRE_v1r0 equals 1 if RcrtSI_HFHSRace_v1r0 equals 0 and RcrtSI_HFHSEthnicity equals 1,,,,,,,,
,,,,,,,,,,,,,538342724,2 = African American/Black and Ethnicity Unavailable/Unknown,,,,,,,,,RcrtSI_HFHSRE_v1r0 equals 2 if RcrtSI_HFHSRace_v1r0 equals 0 and RcrtSI_HFHSEthnicity equals 77,,,,,,,,
,,,,,,,,,,,,,462587438,3 = Caucasian/White and Hispanic or Latino,,,,,,,,,RcrtSI_HFHSRE_v1r0 equals 3 if RcrtSI_HFHSRace_v1r0 equals 1 and RcrtSI_HFHSEthnicity equals 0,,,,,,,,
,,,,,,,,,,,,,743236223,4 = Caucasian/White and not Hispanic or Latino,,,,,,,,,RcrtSI_HFHSRE_v1r0 equals 4 if RcrtSI_HFHSRace_v1r0 equals 1 and RcrtSI_HFHSEthnicity equals 1,,,,,,,,
,,,,,,,,,,,,,130356202,5 = Caucasian/White and Ethnicity Unavailable/Unknown,,,,,,,,,RcrtSI_HFHSRE_v1r0 equals 5 if RcrtSI_HFHSRace_v1r0 equals 1 and RcrtSI_HFHSEthnicity equals 77,,,,,,,,
,,,,,,,,,,,,,816757556,"6 = Other (Hispanic, Asian, American Indian/Alaskan Native, Native Hawaiian or Pacific Islander) and Hispanic or Latino",,,,,,,,,RcrtSI_HFHSRE_v1r0 equals 6 if RcrtSI_HFHSRace_v1r0 equals 2 and RcrtSI_HFHSEthnicity equals 0,,,,,,,,
,,,,,,,,,,,,,357918279,"7 = Other (Hispanic, Asian, American Indian/Alaskan Native, Native Hawaiian or Pacific Islander) and not Hispanic or Latino",,,,,,,,,RcrtSI_HFHSRE_v1r0 equals 7 if RcrtSI_HFHSRace_v1r0 equals 2 and RcrtSI_HFHSEthnicity equals 1,,,,,,,,
,,,,,,,,,,,,,804077616,"8 = Other (Hispanic, Asian, American Indian/Alaskan Native, Native Hawaiian or Pacific Islander) and Ethnicity Unavailable/Unknown",,,,,,,,,RcrtSI_HFHSRE_v1r0 equals 8 if RcrtSI_HFHSRace_v1r0 equals 2 and RcrtSI_HFHSEthnicity equals 77,,,,,,,,
,,,,,,,,,,,,,468459633,9 = Race Unavailable/Unknown and Ethnicity Hispanic or Latino,,,,,,,,,RcrtSI_HFHSRE_v1r0 equals 9 if RcrtSI_HFHSRace_v1r0 equals 77 and RcrtSI_HFHSEthnicity equals 0,,,,,,,,
,,,,,,,,,,,,,179068639,10 = Race Unavailable/Unknown and Ethnicity not Hispanic or Latino,,,,,,,,,RcrtSI_HFHSRE_v1r0 equals 10 if RcrtSI_HFHSRace_v1r0 equals 77 and RcrtSI_HFHSEthnicity equals 1,,,,,,,,
,,,,,,,,,,,,,319907158,77 = Race Unavailable/Unknown and Ethnicity Unavailable/Unknown,,,,,,,,,RcrtSI_HFHSRE_v1r0 equals 77 if RcrtSI_HFHSRace_v1r0 equals 77 and RcrtSI_HFHSEthnicity equals 77,,,,,,,,
192505768,Recruitment,883203566,Sign in,,,706256705,Site reported sex,Site reported sex,RcrtSI_Sex_v1r0,,Num,1,536341288,0 = Female,,,,,Yes,No,,,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,654207589,1 = Male,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,830573274,2 = Intersex or other,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,,,678756255,KP reported sex,KP reported sex,RcrtSI_KP_Sex_v1r0,,Num,1,536341288,0 = Female,,,,,For KP,No,,,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,654207589,1 = Male,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,395528052,2 = Neither male or female,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,181769837,55 = Other,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,,,435027713,Sanford and Henry Ford reported sex,Sanford and Henry Ford reported sex,RcrtSI_SH_HFHS_Sex_v1r0,,Num,1,536341288,0 = Female,,,,,For SH and HFHS,No,,,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,654207589,1 = Male,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,,,749475364,Eligibility algorithm version,Eligibility algorithm version,RcrtSI_EligibilityVer_v1r0,,Char,25,,N/A,,,,,Yes,No,,Version of the algorithm use to select the pool of eligible participants that the active recruit is selected from. Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,,,,,
192505768,Recruitment,883203566,Sign in,,,477091792,IHCS Membership Status,IHCS Membership Status,RcrtSI_MemberStat_v1r0,,Num,1,939572698,0=Member of IHCS Health Plan,,,,,Yes,No,,Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,512786135,1=Non-Member IHCS Patient,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,582670006,2=Member and Patient of IHCS Health Plan,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,,,667474224,Campaign Type,Campaign Type,RcrtSI_CampaignType_v1r0,,Num,1,926338735,0=Random,,,,,Yes,No,,Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,3/25/21,,,,
,,,,,,,,,,,,,348281054,1=Screening appointment,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,324692899,2=Non-screening appointment,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,351257378,3=Demographic Group,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,647148178,4=Aging out of study,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,834544960,5=Geographic group,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,682916147,6=Post-screening appointment,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,153365143,7= Technology adapters,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,663706936,8= Low-income/health professional shortage areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,181769837,55=Other,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,,,481139103,PIN/Token Workflow for HP,Workflow Type,RcrtSI_WorkflowType_v1r0,,Num,1,910533468,0 = Letter without PIN,,,,,Yes for HP,No,,,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,456806539,1 = Letter with PIN,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,,,158291096,Pre-consent Opt-out,Pre-consent Opt-out,RcrtSI_OptOut_v1r0,,Num,1,104430631,0=No,,,,,No,No,,Default is No is set when study ID is submitted.  Sites should set to yes when I participant opts-out prior to consent and sent through the submitParticipantsData API call.  See Opt-out SOP.  A categorical reason for opt-out variable will be added to the dictionary once the list is finalized.,,Recruitment Data Dictionary,Yes,Yes,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,,,697256759,Date/time for pre-consent opt-out,Date/time for pre-consent opt-out,RcrtSI_OptOutTm_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,,,,No,No,,,,Master Data Dictionary,No,No,4/16/21,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),196038514,I am not interested,Not interested,RcrtSI_OptOut_v1r0_inter,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),873405723,I am too busy to join,Too busy/stressed to join,RcrtSI_OptOut_v1r0_busy,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),517101990,I am concerned about my privacy,Concerned about Privacy,RcrtSI_OptOut_v1r0_priv,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),347614743,I have received too many contacts from the study,Too many contacts from the study,RcrtSI_OptOut_v1r0_contacts,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),535928798,I am not able to complete the study activities online,Not able to complete study activities online,RcrtSI_OptOut_v1r0_able,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),897366187,I do not want to join the study for other reasons,Other reason(s),RcrtSI_OptOut_v1r0_other,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),415693436,Please specify __________,Please specify __________,RcrtSI_OptOut_v1r0_specify,,Char,800,,N/A,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),719451909,I do not think the research topic is important/I am not interested in the topic,I do not think the research topic is important/I am not interested in the topic,RcrtSI_OptOut_v1r0_impt,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),377633816,I do not want to participate in research,Does not want to participate in research,RcrtSI_OptOut_v1r0_partic,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),211023960,I do not want to be in a long-term study,Does not want to be in a long-term study,RcrtSI_OptOut_v1r0_term,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),209509101,I think the study takes too much time/asks for too much,I think the study takes too much time/asks for too much,RcrtSI_OptOut_v1r0_time,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,5/25/21,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),363026564,I do not want to give biological samples,Does not want to give biospecimen samples,RcrtSI_OptOut_v1r0_samples,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),405352246,I think the payment or benefit to participate is not great enough,Compensation to participate is not high enough,RcrtSI_OptOut_v1r0_comp,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),755545718,I do not think I am eligible,Does not think they are eligible,RcrtSI_OptOut_v1r0_eligible,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),831137710,I am opposed to genetic testing,I am opposed to genetic testing,RcrtSI_OptOut_v1r0_GenTest,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,5/25/21,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),496935183,I am too sick/my health is too poor to join,Too sick/poor health to join,RcrtSI_OptOut_v1r0_health,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),491099823,I do not have reliable access to the internet/a device,I do not have reliable access to the internet/a device,RcrtSI_OptOut_v1r0_access,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),836460125,I do not like to do things online,Does not like to do things online,RcrtSI_OptOut_v1r0_online,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),163534562,I am worried the study might find out something concerning about me,Worried the study might find something concerning about them,RcrtSI_OptOut_v1r0_concern,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),331787113,I do not want to provide information online,I do not want to provide information online,RcrtSI_OptOut_v1r0_PrivacyA,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,5/25/21,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),705732561,I do not want to complete surveys,I do not want to complete surveys,RcrtSI_OptOut_v1r0_PrivacyB,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,5/25/21,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),381509125,I do not want to provide access to medical history information or diagnoses,I do not want to provide access to medical history information or diagnoses,RcrtSI_OptOut_v1r0_PrivacyC,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,5/25/21,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),497530905,I do not trust the government,I do not trust the government,RcrtSI_OptOut_v1r0_PrivacyD,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,5/25/21,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),627995442,I do not trust research/researchers,I do not trust research/researchers,RcrtSI_OptOut_v1r0_PrivacyE,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,5/25/21,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),208102461,I do not want my informtion shared with other researchers,I do not want my informtion shared with other researchers,RcrtSI_OptOut_v1r0_PrivacyF,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,5/25/21,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),579618065,I am worried my information will not be secure or there will be a data breach,I am worried my information will not be secure or there will be a data breach,RcrtSI_OptOut_v1r0_PrivacyG,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,5/25/21,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),702433259,"I am worried about data being given to my insurance company/effects on insurance (health, life, other)","I am worried about data being given to my insurance company/effects on insurance (health, life, other)",RcrtSI_OptOut_v1r0_PrivacyH,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,5/25/21,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),771146804,I am worried about data being given to my employer/potential employer,I am worried about data being given to my employer/potential employer,RcrtSI_OptOut_v1r0_PrivacyI,,Num,1,104430631,0=No,,,,,No,No,,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,5/25/21,,,,
,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,,,,,
